query,title,subtitle,url,downloads
retail store ratings,Customer Shopping Trends Dataset,Journey into Consumer Insights and Retail Evolution with Synthetic Data,https://www.kaggle.com/datasets/iamsouravbanerjee/customer-shopping-trends-dataset,81762
retail store ratings,Grocery Store Dataset,"Market basket analysis, product recommendations and store optimization.",https://www.kaggle.com/datasets/bhavikjikadara/grocery-store-dataset,8169
retail store ratings,Synthetic Store Sales Dataset for Data Analysis,"A realistic retail transaction dataset with customer behavior, pricing, discount",https://www.kaggle.com/datasets/mhassansaboor/synthetic-store-sales-dataset-for-data-analysis,513
retail store ratings,ShopperSentiments," Fashion Unveiled: Reviews, Trends, Perspectives.",https://www.kaggle.com/datasets/nelgiriyewithana/shoppersentiments,1910
retail store ratings,Fashion Retail Sales,Unlocking Customer Insights and Sales Trends in the Fashion Industry,https://www.kaggle.com/datasets/fekihmea/fashion-retail-sales,6183
store customer satisfaction,Brazilian E-Commerce Public Dataset by Olist,"100,000 Orders with product, customer and reviews info",https://www.kaggle.com/datasets/olistbr/brazilian-ecommerce,477736
store customer satisfaction,McDonald's Store Reviews,Exploring Customer Sentiments in McDonald's US Store Reviews,https://www.kaggle.com/datasets/nelgiriyewithana/mcdonalds-store-reviews,14817
store customer satisfaction,Customer Shopping Trends Dataset,Journey into Consumer Insights and Retail Evolution with Synthetic Data,https://www.kaggle.com/datasets/iamsouravbanerjee/customer-shopping-trends-dataset,81762
store customer satisfaction,Uber Customer Reviews Dataset (2024),"Sentiment Analysis and Insights from 12,000+ Google Play Store Reviews",https://www.kaggle.com/datasets/kanchana1990/uber-customer-reviews-dataset-2024,3073
store customer satisfaction,🏪 Retail Store Product Sales Simulation Dataset,Synthetic dataset simulating realistic retail store product sales,https://www.kaggle.com/datasets/mabubakrsiddiq/retail-store-product-sales-simulation-dataset,1175
