module,variable_name,label,question_text,response_options,waves,in_public_data
Secure Scheduling,happycancel,happy about cancel shift,"The last time your employer canceled a shift, were you happy or unhappy about the shift cancellation? ",if cancelshift = 1,"4, 5, 6, 7, 8",False
Secure Scheduling,happytiming,happy about shift change,"The last time your employer timing or length of your shift, were you happy or unhappy about the shift change? ",if timing = 1,"4, 5, 6, 7, 8",False
Hours Pref And Wlc,swapshiftapp2,If can't make shift - use app to swap shift,If something happens and I can't make it to my scheduled shift... - I can use an app or other online tool to swap shifts with with coworkers,,11,False
Hours Pref And Wlc,swapshiftapp,have app to swap shifts,"At my [EMPLOYERNAME] workplace, I have access to an app or other online tool to swap shifts with co-workers.",,"7, 8, 10, 11, 12",False
Hours Pref And Wlc,control_lotsay,Agree or disagree - have a lot of say about what happens,Please mark your agreement or disagreement with each of the following statements - You have a lot of say about what happens on your job.,,7,False
Hours Pref And Wlc,app_pickup_shifts,access to app and can - pick up shifts,"At my [EMPLOYER NAME] workplace, I have access to an app or another online tool that allows me to - pick up extra available shifts",,"13, 14, 15, 16, 17",False
Hours Pref And Wlc,app_find_cover_shifts,access to app and can - get shift covered,"At my [EMPLOYER NAME] workplace, I have access to an app or another online tool that allows me to - find someone to cover my shift",,"13, 14, 15, 16, 17",False
Hours Pref And Wlc,app_swap_shifts,access to app and can - swap shifts,"At my [EMPLOYER NAME] workplace, I have access to an app or another online tool that allows me to - swap shifts with co-workers",,"13, 14, 15, 16, 17",False
Hours Pref And Wlc,app_update_avail,access to app and can - update availability,"At my [EMPLOYER NAME] workplace, I have access to an app or another online tool that allows me to - update my availability",,"13, 14, 15, 16, 17",False
Hours Pref And Wlc,app_none,access to app and can - none,"At my [EMPLOYER NAME] workplace, I have access to an app or another online tool that allows me to - none",,"13, 14, 15, 16, 17",False
Hours Pref And Wlc,app_is_easy,extent agrees that app is - easy,"In general, I find this app or online tool - easy to use",if has access to scheduling app or online tool,"13, 14, 15, 16",False
Hours Pref And Wlc,app_is_frustrating,extent agrees that app is - frustrating,"In general, I find this app or online tool - frustrating to use",if has access to scheduling app or online tool,"13, 14, 15, 16",False
Hours Pref And Wlc,app_is_helpful,extent agrees that app is - helpful,"In general, I find this app or online tool - helpful and useful",if has access to scheduling app or online tool,"13, 14, 15, 16",False
Hours Pref And Wlc,app_is_buggy,extent agrees that app is - buggy,"In general, I find this app or online tool - slow or buggy",if has access to scheduling app or online tool,"13, 14, 15, 16",False
Covid,covid_vaccine_tried_appt,have you tried to make a vaccint appt?,Have you tried to make an appointment to receive the vaccine?,,10,False
Covid,nottried_appt_ineligible,why not try to make vaccine appt? -  ineligible for vaccine,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I don't think I'm eligible yet to get the vaccine,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_dkhow,why not try to make vaccine appt? - don't know how,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I don't know how to make an appointment,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_notime,why not try to make vaccine appt? - no time,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I don't have the time to make an appointment,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_scheduleissue,why not try to make vaccine appt? - scheduling issues,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I don't know my work schedule far enough ahead to be able to book an appointment,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_sideeffects,why not try to make vaccine appt? -  fear side effects,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I am worried about possible side-effects of vaccination,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_notworried,why not try to make vaccine appt? - not worried about covid,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I am not worried about getting COVID,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_other,why not try to make vaccine appt? - other,Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - Other:,if tried to make vaccine appointment = No,10,False
Covid,nottried_appt_other_text,"why not try to make vaccine appt? - other, text",Why haven't you tried to make an appointment to get vaccinated? Mark all that apply. - Other: - Text,if tried to make vaccine appointment = No,10,False
Covid,covid_vaccine_appt,able to make vaccine appt?,Were you able to make an appointment?,if tried to make vaccine appointment = Yes,10,False
Covid,no_appt_apptunavailable,why not able to make appt? -  no appt availabilities,Why were you unable to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - There were no appointments available,if able to make a vaccine appointment = No,10,False
Covid,no_appt_vaccunavailable,why not able to make appt? - no vaccines available,Why were you unable to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I was scheduled but then no vaccines were available,if able to make a vaccine appointment = No,10,False
Covid,no_appt_techprobs,why not able to make appt? - technical problems,Why were you unable to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - Technical problems,if able to make a vaccine appointment = No,10,False
Covid,no_appt_ineligible,why not able to make appt? - told to be ineligible,Why were you unable to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - I was told I was ineligible,if able to make a vaccine appointment = No,10,False
Covid,no_appt_other,why not able to make appt? - other,Why were you unable to make an appointment to get vaccinated? Mark all that apply. - Selected Choice - Other,if able to make a vaccine appointment = No,10,False
